,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
210,,,,,0.872,,,,,,,,,,,,,0.8836,,,,,0.9032,,,,0.8578
211,,,,,0.883,,,,,,,,,,,,,0.888,,,,,0.8626,,,,0.8664
212,,,,,0.8822,,,,,,,,,,,,,0.8822,,,,,0.864,,,,0.8658
213,,,,,0.8776,,,,,,,,,,,,,0.881,,,,,0.8684,,,,0.8872
214,,,,,0.9036,,,,,,,,,,,,,0.882,,,,,0.8954,,,,0.8886
215,,,,,0.878,,,,,,,,,,,,,0.9,,,,,0.8982,,,,0.8882
216,,,,,0.863,,,,,,,,,,,,,0.8998,,,,,0.8734,,,,0.8696
217,,,,,0.813,,,,,,,,,,,,,0.903,,,,,0.9058,,,,0.8916
218,,,,,0.8622,,,,,,,,,,,,,0.9028,,,,,0.8668,,,,0.8162
219,,,,,0.8414,,,,,,,,,,,,,0.8754,,,,,0.8918,,,,0.8918
220,,,,,0.8428,,,,,,,,,,,,,0.8828,,,,,0.8982,,,,0.9022
221,,,,,0.8938,,,,,,,,,,,,,0.8984,,,,,0.8844,,,,0.9012
222,,,,,0.8466,,,,,,,,,,,,,0.897,,,,,0.892,,,,0.9014
223,,,,,0.863,,,,,,,,,,,,,0.9058,,,,,0.8256,,,,0.908
224,,,,,0.8678,,,,,,,,,,,,,0.8928,,,,,0.9054,,,,0.9124
225,,,,,0.8914,,,,,,,,,,,,,0.8966,,,,,0.9078,,,,0.9138
226,,,,,0.8738,,,,,,,,,,,,,0.899,,,,,0.9088,,,,0.9146
227,,,,,0.8696,,,,,,,,,,,,,0.9026,,,,,0.8284,,,,0.8994
228,,,,,0.8472,,,,,,,,,,,,,0.9086,,,,,0.875,,,,0.9118
229,,,,,0.8934,,,,,,,,,,,,,0.9096,,,,,0.8864,,,,0.9162
230,,,,,0.8862,,,,,,,,,,,,,0.9112,,,,,0.9044,,,,0.9208
231,,,,,0.9082,,,,,,,,,,,,,0.913,,,,,0.8972,,,,0.898
232,,,,,0.875,,,,,,,,,,,,,0.908,,,,,0.8736,,,,0.9216
233,,,,,0.9056,,,,,,,,,,,,,0.9082,,,,,0.8872,,,,0.9078
234,,,,,0.9016,,,,,,,,,,,,,0.9086,,,,,0.6762,,,,0.9116
235,,,,,0.8988,,,,,,,,,,,,,0.888,,,,,0.852,,,,0.9096
236,,,,,0.899,,,,,,,,,,,,,0.8928,,,,,0.6704,,,,0.9166
237,,,,,0.8766,,,,,,,,,,,,,0.8814,,,,,0.8208,,,,0.8428
238,,,,,0.8898,,,,,,,,,,,,,0.9042,,,,,0.9056,,,,0.7034
239,,,,,0.8502,,,,,,,,,,,,,0.8882,,,,,0.8972,,,,0.9144
240,,,,,0.8904,,,,,,,,,,,,,0.9038,,,,,0.848,,,,0.9204
241,,,,,0.8562,,,,,,,,,,,,,0.9054,,,,,0.8488,,,,0.9206
242,,,,,0.8918,,,,,,,,,,,,,0.8832,,,,,0.8424,,,,0.921
243,,,,,0.8978,,,,,,,,,,,,,0.896,,,,,0.9086,,,,0.9184
244,,,,,0.8956,,,,,,,,,,,,,0.9074,,,,,0.8898,,,,0.9058
245,,,,,0.8964,,,,,,,,,,,,,0.86,,,,,0.8518,,,,0.9154
246,,,,,0.9116,,,,,,,,,,,,,0.8588,,,,,0.8272,,,,0.9148
247,,,,,0.9038,,,,,,,,,,,,,0.9066,,,,,0.901,,,,0.9244
248,,,,,0.9042,,,,,,,,,,,,,0.9124,,,,,0.9006,,,,0.9242
249,,,,,0.9076,,,,,,,,,,,,,0.9114,,,,,0.8938,,,,0.9244
250,,,,,0.9158,,,,,,,,,,,,,0.9092,,,,,0.9168,,,,0.9164
251,,,,,0.9218,,,,,,,,,,,,,0.858,,,,,0.9068,,,,0.9208
252,,,,,0.9054,,,,,,,,,,,,,0.903,,,,,0.8828,,,,0.9156
253,,,,,0.8732,,,,,,,,,,,,,0.9038,,,,,0.9166,,,,0.8868
254,,,,,0.8224,,,,,,,,,,,,,0.912,,,,,0.9168,,,,0.8862
255,,,,,0.8036,,,,,,,,,,,,,0.9092,,,,,0.914,,,,0.9168
256,,,,,0.841,,,,,,,,,,,,,0.9056,,,,,0.9196,,,,0.9078
257,,,,,0.9314,,,,,,,,,,,,,0.915,,,,,0.9232,,,,0.8182
258,,,,,0.932,,,,,,,,,,,,,0.917,,,,,0.8906,,,,0.9044
259,,,,,0.9302,,,,,,,,,,,,,0.8964,,,,,0.8976,,,,0.8976
260,,,,,0.9126,,,,,,,,,,,,,0.9078,,,,,0.9134,,,,0.8998
261,,,,,0.926,,,,,,,,,,,,,0.913,,,,,0.8718,,,,0.8922
262,,,,,0.9192,,,,,,,,,,,,,0.891,,,,,0.881,,,,0.9074
263,,,,,0.9232,,,,,,,,,,,,,0.8958,,,,,0.8968,,,,0.9114
264,,,,,0.9008,,,,,,,,,,,,,0.789,,,,,0.7694,,,,0.9018
265,,,,,0.9018,,,,,,,,,,,,,0.9164,,,,,0.9244,,,,0.9248
266,,,,,0.8966,,,,,,,,,,,,,0.897,,,,,0.8566,,,,0.9252
267,,,,,0.902,,,,,,,,,,,,,0.8962,,,,,0.925,,,,0.9022
268,,,,,0.8972,,,,,,,,,,,,,0.8954,,,,,0.9224,,,,0.9046
269,,,,,0.8624,,,,,,,,,,,,,0.8894,,,,,0.8984,,,,0.8754
